formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
Tb3CuSnSe7,mp-18126,"[[0.0, 0.0, 0.0, -0.092, 0.207, 0.0], [0.0, 0.0, 0.0, 0.207, 0.092, 0.0], [0.136, 0.136, -0.889, 0.0, 0.0, 0.0]]",0.909067629080338,2030,0,Triclinic,1,Triclinic 1
Li2CuPO4,mp-779539,"[[0.168, -0.335, -0.178, 0.037, -0.22, -0.242], [-0.132, -0.296, 0.08, 0.091, -0.22, -0.24], [0.11, 0.048, 0.036, -0.075, -0.145, 0.018]]",0.654072930507187,2031,0,Orthorhombic,mm2,Orthorhombic mm2
Li2Si2O5,mp-4117,"[[0.0, 0.0, 0.0, 0.0, -0.341, 0.0], [0.0, 0.0, 0.0, -0.249, 0.0, 0.0], [-0.563, -0.356, 0.891, 0.0, 0.0, 0.0]]",1.11302046292959,2032,0,Orthorhombic,222,Orthorhombic 222
K2Sn2O3,mp-8624,"[[0.0, 0.0, 0.0, -0.026, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.026, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.026]]",0.026406666666667,2033,0,Monoclinic,2,Monoclinic 2
Mg3Si2H4O9,mp-23764,"[[0.167, -0.167, 0.0, 0.0, -0.057, 0.0], [0.0, 0.0, 0.0, -0.057, 0.0, -0.167], [-0.137, -0.137, -0.605, 0.0, 0.0, 0.0]]",0.63571426317175,2034,0,Triclinic,1,Triclinic 1
BeF2,mp-561543,"[[0.0, 0.0, 0.0, -0.045, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.045, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.045]]",0.04529,2035,0,Triclinic,1,Triclinic 1
AsF3,mp-28027,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.049], [0.05, -0.412, -0.055, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.103, 0.0, 0.0]]",0.418711218502681,2036,0,Monoclinic,2,Monoclinic 2
Li2VO3F,mp-759788,"[[-0.126, 0.417, 0.401, -0.32, -0.136, -0.439], [0.007, 0.287, 0.541, -0.096, 0.028, 0.163], [0.207, -0.051, -0.266, 0.511, -0.016, -0.203]]",1.01320080463169,2037,0,Orthorhombic,mm2,Orthorhombic mm2
RbTl(SO4)2,mp-556120,"[[0.353, -0.353, 0.0, 0.274, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.274, -0.353], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.569084867895247,2038,0,Trigonal,32,Trigonal 32
Nb(PS4)2,mp-28130,"[[0.0, 0.034, -0.034, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.003], [0.0, 0.0, 0.0, 0.0, -0.003, 0.0]]",0.048161042866616,2039,0,Cubic,-43m,Cubic -43m
LiCaAs,mp-961684,"[[0.0, 0.0, 0.0, -0.683, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.683, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.683]]",0.6826848210798,2040,0,Triclinic,1,Triclinic 1
Zn(InSe2)2,mp-34169,"[[0.0, 0.0, 0.0, -0.14, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.14, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.159]]",0.15907,2041,0,Cubic,-43m,Cubic -43m
BeSiN2,mp-15704,"[[0.0, 0.0, 0.0, 0.092, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.092, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.064]]",0.091934820658391,2042,0,Monoclinic,2,Monoclinic 2
LiCoOF2,mp-850916,"[[3.51, -0.754, 0.323, 0.0, 0.359, 0.0], [0.0, 0.0, 0.0, -0.285, 0.0, -0.132], [0.15, -0.595, -0.449, 0.0, 0.278, 0.0]]",3.6315978751579,2043,0,Triclinic,1,Triclinic 1
MgGeP2,mp-34903,"[[0.0, 0.0, 0.0, -0.107, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.107, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.185]]",0.18508655362909,2044,0,Tetragonal,4,Tetragonal 4
RbTe,mp-9064,"[[-0.023, 0.023, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.023], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.032615300306371,2045,0,Trigonal,3m,Trigonal 3m
H6CNF,mp-554051,"[[0.0, 0.0, 0.0, 0.0, 0.072, -0.011], [-0.011, 0.011, 0.0, 0.072, 0.0, 0.0], [0.199, 0.199, 0.145, 0.0, 0.0, 0.0]]",0.316505233290069,2046,0,Trigonal,3m,Trigonal 3m
Ca5Al6O14,mp-17694,"[[0.0, 0.0, 0.0, 0.0, -0.073, 0.0], [0.0, 0.0, 0.0, -0.218, 0.0, 0.0], [-0.112, 0.049, -0.054, 0.0, 0.0, 0.0]]",0.218118915896042,2047,0,Triclinic,1,Triclinic 1
Sr4Cl6O,mp-23321,"[[0.0, 0.0, 0.0, 0.0, -0.083, 0.0], [0.0, 0.0, 0.0, -0.083, 0.0, 0.0], [-0.055, -0.055, 0.155, 0.0, 0.0, 0.0]]",0.173800903047136,2048,0,Cubic,-43m,Cubic -43m
Ga2CoS4,mp-4152,"[[0.0, 0.0, 0.0, 0.02, -0.128, 0.0], [0.0, 0.0, 0.0, 0.128, 0.02, 0.0], [-0.072, 0.072, 0.0, 0.0, 0.0, 0.0]]",0.129578652659302,2049,0,Hexagonal,622,Hexagonal 622
CuAsSe2,mp-29643,"[[0.0, 0.0, 0.0, 0.0, -0.483, 0.933], [0.933, -0.933, 0.0, -0.483, 0.0, 0.0], [-0.393, -0.393, 0.113, 0.0, 0.0, 0.0]]",1.40432910214501,2050,0,Trigonal,3m,Trigonal 3m
Ga5(PS)3,mp-676038,"[[-0.016, -0.045, 0.167, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.154], [0.0, 0.0, 0.0, 0.0, 0.363, 0.0]]",0.36298,2051,0,Cubic,-43m,Cubic -43m
