formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
As2SO6,mp-27230,"[[0.0, 0.0, 0.0, 0.012, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.108, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.102]]",0.10817999999999998,1950,0,Monoclinic,m
ScF3,mp-559092,"[[-0.118, 0.118, 0.0, -0.146, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.146, 0.118], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.22175899567897142,1951,0,Orthorhombic,222
Na2FeNiF7,mp-561395,"[[-4.706, -3.545, -3.084, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.642], [0.0, 0.0, 0.0, 0.0, 0.03, 0.0]]",6.649797917974648,1952,0,Hexagonal,6mm
ClO3,mp-22869,"[[-1.199, 0.173, 0.073, 0.0, 0.192, 0.0], [0.0, 0.0, 0.0, -0.066, 0.0, -0.024], [1.179, -0.13, 0.017, 0.0, -0.203, 0.0]]",1.7184834081242053,1953,0,Monoclinic,m
FePO4,mp-540111,"[[0.012, 0.115, -0.083, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.167], [0.0, 0.0, 0.0, 0.0, -0.204, 0.0]]",0.20357999999999998,1954,0,Hexagonal,6mm
Cs2Zr(AgTe2)2,mp-1078823,"[[0.0, 0.0, 0.0, 0.083, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.122, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.104]]",0.12228000000000083,1955,0,Triclinic,1
KNd(PO3)4,mp-6433,"[[0.0, 0.0, 0.0, 0.041, 0.0, -0.075], [0.074, -0.302, -0.133, 0.0, 0.171, 0.0], [0.0, 0.0, 0.0, 0.01, 0.0, 0.118]]",0.379005964992637,1956,0,Orthorhombic,mm2
BaZn2(BO3)2,mp-557974,"[[0.0, 0.0, 0.0, 0.115, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.004, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.514]]",0.51373,1957,0,Tetragonal,422
CsHSO3,mp-1018678,"[[0.0, 0.0, 0.0, 0.0, 0.208, 0.12], [0.12, -0.12, 0.0, 0.208, 0.0, 0.0], [-0.016, -0.016, 0.291, 0.0, 0.0, 0.0]]",0.2918623424142807,1958,0,Cubic,432
AlCr4AgS8,mp-1228999,"[[0.0, 0.0, 0.0, -0.023, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.023, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.023]]",0.022570038897335547,1959,0,Monoclinic,2
